Title,User Rating,Genres,Cast,Links
Hell House LLC Origins: The Carmichael Manor,62,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']","['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André', 'Amy Schumer', 'Andrew Rannells', 'Daveed Diggs', 'Troye Sivan', 'Kid Cudi']",http://themoviedb.org/movie/1035982
Princess Khutulun,71,"['Animation', 'Comedy', 'Family']","['Adam Sandler', 'Bill Burr', 'Cecily Strong', 'Jason Alexander', 'Rob Schneider', 'Allison Strong', 'Jo Koy', 'Sadie Sandler', 'Sunny Sandler']",http://themoviedb.org/movie/960481
The Equalizer 3,74,"['Action', 'Comedy']","['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Alice Eve', 'Marton Csokas', 'Christian Slater', 'Julianne Arrieta', 'Molly McCann', 'Daniel Toro']",http://themoviedb.org/movie/926393
The Super Mario Bros. Movie,77,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']",http://themoviedb.org/movie/502356
Wifelike,71,"['Comedy', 'Family', 'Fantasy']","['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Olivia Colman', 'Rowan Atkinson', 'Hugh Grant', 'Sally Hawkins', 'Matt Lucas', 'Mathew Baynton']",http://themoviedb.org/movie/1001835
Napoleon,64,"['Animation', 'Comedy', 'Family']","['Michael Godere', 'Ezekiel Ajeigbe', 'Raul Ceballos', 'Chris Diamantopoulos', 'Mallory Low', 'Zehra Fazal', 'Keith Silverstein', 'Kari Wahlgren']",http://themoviedb.org/movie/753342
The Hunger Games: The Ballad of Songbirds & Snakes,73,"['Horror', 'Mystery']","['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin']",http://themoviedb.org/movie/695721
The Marvels,66,"['Action', 'Horror', 'Fantasy']","['Rebecca Finch', 'Ray Whelan', 'Kate Milner Evans', 'Mark Sears', 'Peter Cosgrove', 'Carmina Cordelia', 'Mike Kelson', 'Kate Lush', 'Georgia Woodthorpe']",http://themoviedb.org/movie/609681
Meg 2: The Trench,67,"['Science Fiction', 'Action', 'Thriller']","['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney', 'Ken Watanabe', 'Sturgill Simpson', 'Amar Chadha-Patel', 'Marc Menchaca', 'Robbie Tann']",http://themoviedb.org/movie/615656
Transformers: Rise of the Beasts,74,"['War', 'Drama', 'Action']","['Dolph Lundgren', 'Tyrese Gibson', 'Michael Jai White', 'Kellan Lutz', 'Vicellous Shannon', 'Hiram A. Murray', 'Justen Jones', 'Gary David Keast', 'Aaron Courteau']",http://themoviedb.org/movie/667538
