Title,User Rating,Genres,Cast,Links
Trolls Band Together,72,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']","['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André', 'Amy Schumer', 'Andrew Rannells', 'Daveed Diggs', 'Troye Sivan', 'Kid Cudi']",http://themoviedb.org/movie/901362
Leo,75,"['Animation', 'Comedy', 'Family']","['Adam Sandler', 'Bill Burr', 'Cecily Strong', 'Jason Alexander', 'Rob Schneider', 'Allison Strong', 'Jo Koy', 'Sadie Sandler', 'Sunny Sandler']",http://themoviedb.org/movie/1075794
Freelance,64,"['Action', 'Comedy']","['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Alice Eve', 'Marton Csokas', 'Christian Slater', 'Julianne Arrieta', 'Molly McCann', 'Daniel Toro']",http://themoviedb.org/movie/897087
Oppenheimer,81,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']",http://themoviedb.org/movie/872585
Reign of Chaos,55,[],[],http://themoviedb.org/movie/951546
The Bad Guys: A Very Bad Holiday,57,"['Animation', 'Comedy', 'Family']","['Michael Godere', 'Ezekiel Ajeigbe', 'Raul Ceballos', 'Chris Diamantopoulos', 'Mallory Low', 'Zehra Fazal', 'Keith Silverstein', 'Kari Wahlgren']",http://themoviedb.org/movie/1046032
Five Nights at Freddy's,78,"['Horror', 'Mystery']","['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin']",http://themoviedb.org/movie/507089
The Creator,71,"['Science Fiction', 'Action', 'Thriller']","['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney', 'Ken Watanabe', 'Sturgill Simpson', 'Amar Chadha-Patel', 'Marc Menchaca', 'Robbie Tann']",http://themoviedb.org/movie/670292
Come Out Fighting,47,"['War', 'Drama', 'Action']","['Dolph Lundgren', 'Tyrese Gibson', 'Michael Jai White', 'Kellan Lutz', 'Vicellous Shannon', 'Hiram A. Murray', 'Justen Jones', 'Gary David Keast', 'Aaron Courteau']",http://themoviedb.org/movie/1047925
Fast X,72,"['Action', 'Crime', 'Thriller']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Jason Momoa']",http://themoviedb.org/movie/385687
Expend4bles,64,"['Action', 'Adventure', 'Thriller']","['Sylvester Stallone', 'Jason Statham', '50 Cent', 'Megan Fox', 'Dolph Lundgren', 'Iko Uwais', 'Andy García', 'Tony Jaa', 'Randy Couture']",http://themoviedb.org/movie/299054
Mission: Impossible - Dead Reckoning Part One,76,"['Action', 'Thriller']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny']",http://themoviedb.org/movie/575264
Wonka,72,"['Comedy', 'Family', 'Fantasy']","['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Olivia Colman', 'Rowan Atkinson', 'Hugh Grant', 'Sally Hawkins', 'Matt Lucas', 'Mathew Baynton']",http://themoviedb.org/movie/787699
Candy Cane Lane,64,"['Comedy', 'Fantasy', 'Family']","['Eddie Murphy', 'Tracee Ellis Ross', 'Jillian Bell', 'Genneya Walton', 'Thaddeus J. Mixson', 'Madison Thomas', 'Nick Offerman', 'Chris Redd', 'Robin Thede']",http://themoviedb.org/movie/1022964
Inferno,61,"['Action', 'Drama', 'Romance']","['Jean-Claude Van Damme', 'Pat Morita', 'Danny Trejo', 'Gabrielle Fitzpatrick', 'Larry Drake', 'Vincent Schiavelli', ""David 'Shark' Fralick"", 'Silas Weir Mitchell', 'Jonathan Avildsen']",http://themoviedb.org/movie/10908
Godzilla Minus One,84,"['Drama', 'Science Fiction', 'Action', 'Horror']","['Ryunosuke Kamiki', 'Hidetaka Yoshioka', 'Minami Hamabe', 'Kuranosuke Sasaki', 'Yuki Yamada', 'Saki Nakatani', 'Munetaka Aoki', 'Sakura Ando', 'Mio Tanaka']",http://themoviedb.org/movie/940721
Mousa,66,"['Action', 'Adventure', 'Science Fiction']","['Karim Mahmoud Abdel Aziz', 'Eyad Nassar', 'Asmaa Abu ElYazeed', 'Sabry Fawaz', 'Mohamed Lotfi', 'Mahmoud Hafez', 'Sara Elshamy', 'Ahmed Hatem', 'Ahmed ElAwadi']",http://themoviedb.org/movie/775244
Family Switch,64,"['Comedy', 'Fantasy', 'Family']","['Jennifer Garner', 'Ed Helms', 'Emma Myers', 'Brady Noon', 'Rita Moreno', 'Matthias Schweighöfer', 'Vanessa Carrasco', 'Cyrus Arnold', 'Ilia Isorelýs Paulino']",http://themoviedb.org/movie/798021
Killers of the Flower Moon,77,"['Crime', 'Drama', 'History']","['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro', 'Jesse Plemons', 'Tantoo Cardinal', 'John Lithgow', 'Brendan Fraser', 'Cara Jade Myers', 'JaNae Collins']",http://themoviedb.org/movie/466420
The Immortal Wars: Rebirth,35,['Science Fiction'],"['Corey Taylor', 'Destiny Salas', 'Lindsey Cruz', 'Steve Delgado', 'Julie Garcia-Briceno', 'Jackie Gerhardy', 'Mark Justice', 'Gotham McFadden', 'Destiny Faith Nelson']",http://themoviedb.org/movie/920258
Hell House LLC Origins: The Carmichael Manor,63,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']","['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André', 'Amy Schumer', 'Andrew Rannells', 'Daveed Diggs', 'Troye Sivan', 'Kid Cudi']",http://themoviedb.org/movie/1035982
Princess Khutulun,71,"['Animation', 'Comedy', 'Family']","['Adam Sandler', 'Bill Burr', 'Cecily Strong', 'Jason Alexander', 'Rob Schneider', 'Allison Strong', 'Jo Koy', 'Sadie Sandler', 'Sunny Sandler']",http://themoviedb.org/movie/960481
The Equalizer 3,74,"['Action', 'Comedy']","['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Alice Eve', 'Marton Csokas', 'Christian Slater', 'Julianne Arrieta', 'Molly McCann', 'Daniel Toro']",http://themoviedb.org/movie/926393
The Super Mario Bros. Movie,77,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']",http://themoviedb.org/movie/502356
Wifelike,71,[],[],http://themoviedb.org/movie/1001835
Napoleon,64,"['Animation', 'Comedy', 'Family']","['Michael Godere', 'Ezekiel Ajeigbe', 'Raul Ceballos', 'Chris Diamantopoulos', 'Mallory Low', 'Zehra Fazal', 'Keith Silverstein', 'Kari Wahlgren']",http://themoviedb.org/movie/753342
